edition      centre       date         dataType     gridType     stepRange    typeOfLevel  level        shortName    packingType  
2            kwbc         20250101     fc           lambert      0            surface      0            unknown      grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            surface      0            lai          grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            surface      0            gflux        grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            surface      0            vgtyp        grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            isobaricLayer  500          lftx         grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            surface      0            cape         grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            surface      0            cin          grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            atmosphereSingleLayer  0            pwat         grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            atmosphereSingleLayer  0            aod          grid_simple 
2            kwbc         20250101     fc           lambert      0            atmosphereSingleLayer  0            unknown      grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            atmosphere   0            unknown      grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            atmosphere   0            unknown      grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            boundaryLayerCloudLayer  0            tcc          grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            lowCloudLayer  0            lcc          grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            middleCloudLayer  0            mcc          grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            highCloudLayer  0            hcc          grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            atmosphere   0            tcc          grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            cloudCeiling  0            gh           grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            cloudBase    0            gh           grid_simple 
2            kwbc         20250101     fc           lambert      0            cloudBase    0            pcdb         grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            cloudTop     0            pres         grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            cloudTop     0            gh           grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            nominalTop   0            unknown      grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            surface      0            sdswrf       grid_simple 
2            kwbc         20250101     fc           lambert      0            surface      0            sdlwrf       grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            surface      0            suswrf       grid_simple 
2            kwbc         20250101     fc           lambert      0            surface      0            sulwrf       grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            surface      0            cfnsf        grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            surface      0            vbdsf        grid_simple 
2            kwbc         20250101     fc           lambert      0            surface      0            vddsf        grid_simple 
2            kwbc         20250101     fc           lambert      0            nominalTop   0            unknown      grid_simple 
2            kwbc         20250101     fc           lambert      0            heightAboveGroundLayer  3000         hlcy         grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            heightAboveGroundLayer  1000         hlcy         grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            heightAboveGroundLayer  0            ustm         grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            heightAboveGroundLayer  0            vstm         grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            heightAboveGroundLayer  0            vucsh        grid_simple 
2            kwbc         20250101     fc           lambert      0            heightAboveGroundLayer  0            vvcsh        grid_simple 
2            kwbc         20250101     fc           lambert      0            heightAboveGroundLayer  0            vucsh        grid_simple 
2            kwbc         20250101     fc           lambert      0            heightAboveGroundLayer  0            vvcsh        grid_simple 
2            kwbc         20250101     fc           lambert      0            isothermZero  0            gh           grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            isothermZero  0            r            grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            isothermZero  0            pres         grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            highestTroposphericFreezing  0            gh           grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            highestTroposphericFreezing  0            r            grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            highestTroposphericFreezing  0            pres         grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            isothermal   263          gh           grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            isothermal   253          gh           grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            pressureFromGroundLayer  18000        4lftx        grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            pressureFromGroundLayer  18000        cape         grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            pressureFromGroundLayer  18000        cin          grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            surface      0            blh          grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            adiabaticCondensation  0            gh           grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            pressureFromGroundLayer  9000         cape         grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            pressureFromGroundLayer  9000         cin          grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            pressureFromGroundLayer  25500        cape         grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            pressureFromGroundLayer  25500        cin          grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            equilibrium  0            gh           grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            pressureFromGroundLayer  25500        plpl         grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            heightAboveGroundLayer  0            cape         grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            freeConvection  0            gh           grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            surface      0            unknown      grid_complex_spatial_differencing 
